micro_agg,neg_corr,precision,accuracy,recall,tau,u,auc,eor,dpr,epsilon,eOdds,f,f1,k
1.0,1.0,0.7185124480039734,0.701,0.9412170926215024,0.0,,0.5405246437894593,0.08734831985909737,0.0835459942353862,,0.1945136231544316,,0.8147280522454243,60.0
0.0,0.0,0.7863225240196813,0.74,0.8627542811540959,0.0,,0.6580382111870182,0.057164726323906186,0.11382890361322348,,0.2337430096049759,,0.8225942827475347,70.0
1.0,0.0,0.7157767600256397,0.698,0.9443146751692144,0.0,,0.5339018890951591,0.08306361053320573,0.10456540771063713,,0.22069056079173494,,0.8137759521365068,70.0
0.0,1.0,0.7863225240196813,0.74,0.8627542811540959,0.0,,0.6580382111870182,0.057164726323906186,0.11382890361322348,,0.2337430096049759,,0.8225942827475347,70.0
1.0,1.0,0.7157767600256397,0.698,0.9443146751692144,0.0,,0.5339018890951591,0.08306361053320573,0.10456540771063713,,0.22069056079173494,,0.8137759521365068,70.0
0.0,0.0,0.7932489292887238,0.746,0.8611955972101935,0.0,,0.6684313964096027,0.06944771758931463,0.12078761756226775,,0.2614643715719129,,0.8255270046850527,80.0
1.0,0.0,0.7075488655002734,0.687,0.9410174555979091,0.0,,0.5165409319553682,0.035221329455572103,0.023475003372318427,,0.08696894172950016,,0.8076508284649396,80.0
0.0,1.0,0.7932489292887238,0.746,0.8611955972101935,0.0,,0.6684313964096027,0.06944771758931463,0.12078761756226775,,0.2614643715719129,,0.8255270046850527,80.0
1.0,1.0,0.7075488655002734,0.687,0.9410174555979091,0.0,,0.5165409319553682,0.035221329455572103,0.023475003372318427,,0.08696894172950016,,0.8076508284649396,80.0
0.0,0.0,0.7861745059207108,0.735,0.8524346633274307,0.0,,0.6557787311378395,0.07617971192245393,0.1405046156509045,,0.3005050190960583,,0.8178120041217298,90.0
1.0,0.0,0.7052620942276114,0.647,0.8510308235739753,0.0,,0.5094149817338633,0.1022139708530269,0.0959065143450953,,0.2282981000950509,,0.7709401670175395,90.0
0.0,1.0,0.7861745059207108,0.735,0.8524346633274307,0.0,,0.6557787311378395,0.07617971192245393,0.1405046156509045,,0.3005050190960583,,0.8178120041217298,90.0
1.0,1.0,0.7052620942276114,0.647,0.8510308235739753,0.0,,0.5094149817338633,0.1022139708530269,0.0959065143450953,,0.2282981000950509,,0.7709401670175395,90.0
0.0,0.0,0.7905438685541332,0.7440000000000001,0.8627252834948707,0.0,,0.6642856231424632,0.0621651641839737,0.11600612923005935,,0.2411951849167808,,0.8248689324889368,100.0
1.0,0.0,0.7066204591906451,0.6519999999999999,0.8586047473783506,0.0,,0.5141855847525026,0.14021205836241762,0.14158789465122315,,0.286642734947893,,0.7747464827010971,100.0
0.0,1.0,0.7905438685541332,0.7440000000000001,0.8627252834948707,0.0,,0.6642856231424632,0.0621651641839737,0.11600612923005935,,0.2411951849167808,,0.8248689324889368,100.0
1.0,1.0,0.7066204591906451,0.6519999999999999,0.8586047473783506,0.0,,0.5141855847525026,0.14021205836241762,0.14158789465122315,,0.286642734947893,,0.7747464827010971,100.0
0.0,0.0,0.7890874167368084,0.748,0.8721315578013265,0.1,3.0,0.6642420010257849,0.058625204691914234,0.09490681572080953,,0.19560866758868986,7.0,0.8283028003720574,
1.0,0.0,0.7243299288496712,0.7060000000000001,0.9371416251560668,0.1,3.0,0.550884897009497,0.09350917805056484,0.13986746367263456,,0.3185352899652217,7.0,0.8166580128302308,
0.0,1.0,0.8014230662283351,0.75,0.8537083905655555,0.1,3.0,0.6801705871293997,0.04386406010472836,0.08792313084594394,,0.15935608906424958,7.0,0.8263052408943705,
1.0,1.0,0.7420538982979442,0.7020000000000001,0.8826161515306975,0.1,3.0,0.5816848513634751,0.0906752298658368,0.12294430748009973,,0.26981728877569755,7.0,0.8058359874157788,
0.0,0.0,0.793354751337629,0.747,0.8623752705314278,0.1,6.0,0.6690212330702198,0.07113892303541232,0.11218768573680228,,0.2355571891564648,14.0,0.8262413677363001,
1.0,0.0,0.7121561215217289,0.6940000000000001,0.9420180311380064,0.1,6.0,0.526547080253286,0.07314341318734094,0.0719821204109439,,0.16531438114778255,14.0,0.8109183607850629,
0.0,1.0,0.7909313989818247,0.7440000000000001,0.860916303966078,0.1,6.0,0.6648454221039289,0.056367681205346964,0.09884577239488893,,0.18441806684087192,14.0,0.824203748856068,
1.0,1.0,0.7118542103288672,0.684,0.9192318102666792,0.1,6.0,0.5252104669927636,0.08733546949704434,0.08728671071553422,,0.19736358031462886,14.0,0.8021678001987615,
0.0,0.0,0.7915921449150216,0.7490000000000001,0.8694613275668995,0.1,9.4,0.6685355607163508,0.0558857495484635,0.11373986173669193,,0.2316774479253012,20.6,0.8285630217613679,
1.0,0.0,0.7157853670665614,0.696,0.9380846466864152,0.1,9.4,0.5338644760618946,0.06518656783111483,0.08489770750240891,,0.2078738039394036,20.6,0.8116893111754585,
0.0,1.0,0.7915921449150216,0.7490000000000001,0.8694613275668995,0.1,9.4,0.6685355607163508,0.0558857495484635,0.11373986173669193,,0.2316774479253012,20.6,0.8285630217613679,
1.0,1.0,0.7157853670665614,0.696,0.9380846466864152,0.1,9.4,0.5338644760618946,0.06518656783111483,0.08489770750240891,,0.2078738039394036,20.6,0.8116893111754585,
0.0,0.0,0.7903098424032948,0.746,0.8668443485823877,0.1,12.6,0.6648808669603596,0.06946407368488097,0.11810948022883767,,0.25469315061674425,27.4,0.8267185137130599,
1.0,0.0,0.7121954924285782,0.6900000000000001,0.9339247789319228,0.1,12.6,0.526823062985881,0.05470343093568748,0.05092799627643803,,0.10648400850573872,27.4,0.8079108118991505,
0.0,1.0,0.7903098424032948,0.746,0.8668443485823877,0.1,12.6,0.6648808669603596,0.06946407368488097,0.11810948022883767,,0.25469315061674425,27.4,0.8267185137130599,
1.0,1.0,0.7121954924285782,0.6900000000000001,0.9339247789319228,0.1,12.6,0.526823062985881,0.05470343093568748,0.05092799627643803,,0.10648400850573872,27.4,0.8079108118991505,
0.0,0.0,0.7925036346063541,0.75,0.8694542666276843,0.1,15.6,0.6700754303494654,0.0620961958383537,0.1218989772411074,,0.24785865444910954,34.4,0.8289847488992994,
1.0,0.0,0.7041179260414593,0.6729999999999999,0.9197852481533988,0.1,15.6,0.5098868363742257,0.05333964040126786,0.04809280535001596,,0.11415553148031685,34.4,0.7959715416589128,
0.0,1.0,0.7925036346063541,0.75,0.8694542666276843,0.1,15.6,0.6700754303494654,0.0620961958383537,0.1218989772411074,,0.24785865444910954,34.4,0.8289847488992994,
1.0,1.0,0.7041179260414593,0.6729999999999999,0.9197852481533988,0.1,15.6,0.5098868363742257,0.05333964040126786,0.04809280535001596,,0.11415553148031685,34.4,0.7959715416589128,
