,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,e,fold
3011,0.55,0.6370967741935484,0.7383177570093458,0.5602836879432624,0.5428537083784108,0.0982142857142857,0.13650075414781293,0.14210299504417145,0.316,0
3012,0.68,0.7961783439490445,0.7225433526011561,0.8865248226950354,0.5364827503305685,0.010912698412698485,0.05580693815987936,0.15244559362206422,0.316,0
3013,0.605,0.7188612099644127,0.7214285714285714,0.7163120567375887,0.5276475537925231,0.019841269841269882,0.037707390648567096,0.05731523378582192,0.316,0
3014,0.54,0.6666666666666666,0.6814814814814815,0.6524822695035462,0.4618343550907562,0.004960317460317443,0.019607843137254832,0.05182072829131645,0.316,0
3015,0.54,0.6541353383458647,0.696,0.6170212765957447,0.4864767399927876,0.12400793650793653,0.10859728506787336,0.2696617108381815,0.316,0
3016,0.62,0.7564102564102564,0.6900584795321637,0.8368794326241135,0.4692871739391753,0.0029761904761904656,0.022624434389140302,0.08284852402499465,0.316,0
3017,0.63,0.7448275862068965,0.7248322147651006,0.7659574468085106,0.5355210962856112,0.06746031746031744,0.03092006033182504,0.1807800043094161,0.316,0
3018,0.56,0.6764705882352942,0.7022900763358778,0.6524822695035462,0.4957326601755019,0.1160714285714286,0.0867269984917044,0.27160094807153634,0.316,0
3019,0.68,0.7793103448275862,0.7583892617449665,0.8014184397163121,0.5956244740954442,0.1418650793650793,0.1508295625942685,0.26427494074552904,0.316,0
3020,0.6,0.7142857142857142,0.7194244604316546,0.7092198581560284,0.5241014545017431,0.07638888888888884,0.0829562594268477,0.1459814695108813,0.316,0
3021,0.71,0.8152866242038216,0.7398843930635838,0.9078014184397164,0.5725447770164683,0.08829365079365081,0.09200603318250378,0.17744020685197148,0.316,0
3022,0.555,0.6276150627615062,0.7653061224489796,0.5319148936170213,0.5710421925712225,0.11011904761904767,0.16817496229260942,0.1989872872225814,0.316,0
3023,0.6,0.6825396825396826,0.7747747747747747,0.6099290780141844,0.5931001322274312,0.1259920634920635,0.16968325791855204,0.18648998060762767,0.316,0
3024,0.48,0.5905511811023623,0.6637168141592921,0.5319148936170213,0.443923548503426,0.03373015873015872,0.07993966817496234,0.1583710407239819,0.316,0
3025,0.68,0.7987421383647799,0.7175141242937854,0.9007092198581559,0.526625796369756,0.06051587301587302,0.06636500754147813,0.11538461538461532,0.316,0
3026,0.63,0.7430555555555556,0.7278911564625851,0.7588652482269503,0.5404495732660175,0.10317460317460314,0.0565610859728507,0.2652445593622065,0.316,0
3027,0.67,0.7987804878048781,0.7005347593582888,0.9290780141843972,0.4899627359057579,0.008928571428571397,0.008295625942684737,0.019500107735401784,0.316,0
3028,0.615,0.7200000000000001,0.7388059701492538,0.7021276595744681,0.5544536602957086,0.03769841269841268,0.0490196078431373,0.056022408963585464,0.316,0
3029,0.58,0.6934306569343066,0.7142857142857143,0.6737588652482269,0.5148455343190288,0.10515873015873012,0.08069381598793357,0.2417582417582417,0.316,0
3030,0.575,0.7038327526132405,0.6917808219178082,0.7163120567375887,0.4768000961654045,0.09623015873015872,0.033182503770739065,0.2782805429864253,0.316,0
3031,0.58,0.676923076923077,0.7394957983193278,0.6241134751773051,0.5493448731818729,0.1071428571428571,0.11840120663650078,0.1954320189614308,0.316,0
3032,0.48,0.5593220338983051,0.6947368421052632,0.4680851063829787,0.4882798413270826,0.06448412698412702,0.07993966817496229,0.10935143288084463,0.316,0
3033,0.475,0.5849802371541502,0.6607142857142857,0.524822695035461,0.44037744921264577,0.08333333333333337,0.016591251885369585,0.26028873087696625,0.316,0
3034,0.535,0.6642599277978339,0.6764705882352942,0.6524822695035462,0.4533597788195697,0.001984126984126977,0.015837104072398134,0.04244774833010112,0.316,0
3035,0.675,0.7686832740213523,0.7714285714285715,0.7659574468085106,0.6117922827262893,0.0793650793650793,0.06636500754147813,0.16720534367593187,0.316,0
3036,0.4,0.43396226415094347,0.647887323943662,0.3262411347517731,0.4512561605962255,0.09623015873015872,0.06108597285067874,0.24315880198233136,0.316,0
