k,u,f,tau,neg_corr,micro_agg,epsilon,accuracy,auc,f1,precision,recall,dpr,eor,eOdds
90.0,,,0.0,0.0,1.0,,0.7735016264956385,0.7087013333123507,0.5540600306386184,0.5277274862188965,0.583703486956188,0.2066313380527113,0.31335031710501793,0.4131250854777285
90.0,,,0.0,1.0,0.0,,0.8507414815049547,0.7643692790203699,0.6585511076597539,0.7331590344081287,0.5977494043893556,0.18066711459684628,0.1104807720971693,0.18617182918528566
90.0,,,0.0,1.0,1.0,,0.7735016264956385,0.7087013333123507,0.5540600306386184,0.5277274862188965,0.583703486956188,0.2066313380527113,0.31335031710501793,0.4131250854777285
100.0,,,0.0,0.0,0.0,,0.8504958142682693,0.7636451203542235,0.6575505446195473,0.7332390371660669,0.5960986674309365,0.17845328151199152,0.10335507450145162,0.17785102462890007
100.0,,,0.0,0.0,1.0,,0.7564873230292392,0.6975720624027216,0.5361464658993466,0.4962211576920869,0.5839414947906458,0.19191650033710106,0.29087320880839457,0.3817582366712405
100.0,,,0.0,1.0,0.0,,0.8504958142682693,0.7636451203542235,0.6575505446195473,0.7332390371660669,0.5960986674309365,0.17845328151199152,0.10335507450145162,0.17785102462890007
100.0,,,0.0,1.0,1.0,,0.7564873230292392,0.6975720624027216,0.5361464658993466,0.4962211576920869,0.5839414947906458,0.19191650033710106,0.29087320880839457,0.3817582366712405
,3.0,7.0,0.1,0.0,0.0,,0.8406067566247207,0.7608757846324201,0.6471550538642497,0.6930369949187618,0.6070642702196384,0.10456975562413012,0.07007471084674924,0.08481725202584396
,3.0,7.0,0.1,0.0,1.0,,0.8409138583539782,0.7567384888230311,0.6427215696596359,0.7002008580758023,0.5943394153229947,0.221383138870014,0.2779399003697096,0.3786278936949378
,3.0,7.0,0.1,1.0,0.0,,0.8001904242922206,0.5966795524736523,0.3295309397385968,0.8601655485003071,0.20407772041953426,0.014262075905987931,0.2897676088293098,0.3044273482652403
,3.0,7.0,0.1,1.0,1.0,,0.8089126321162251,0.6238884723345555,0.4016888849000629,0.8182383952914407,0.2669528327281022,0.058943051912624216,0.05303741012038359,0.06597953133086011
,7.0,13.0,0.1,0.0,0.0,,0.8497587889803458,0.7594160884787675,0.6522428597315512,0.7368765503583946,0.5851323631603189,0.1509933335068637,0.04356363022531342,0.09947634833816103
,7.0,13.0,0.1,0.0,1.0,,0.8155767042743092,0.7413172183575618,0.6096277535642394,0.6231908127762463,0.5980439975392327,0.2723921319470782,0.4067303617384339,0.5556341866176778
,7.0,13.0,0.1,1.0,0.0,,0.8125670884652919,0.6291352015720107,0.413993483253136,0.8382278647092465,0.2752587206644957,0.010778485969113013,0.24038943633123666,0.2502390793990941
,7.0,13.0,0.1,1.0,1.0,,0.8082061778918067,0.6693213030951126,0.5010625431401096,0.6714139823448979,0.4014296682197404,0.13788887051971202,0.1916394084121276,0.24678245086454345
