accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,t,k,u,f,lf,nc,m,e
0.592,0.7051119389173237,0.7114462885891457,0.7002903259616392,0.5189300137654175,0.06868238204463692,0.0966573738195912,0.1636405910040468,2,0.3,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6279999999999999,0.7422989255091016,0.7195170924701764,0.7701028065394595,0.5350835614311569,0.08354228986968293,0.07359707045296163,0.17387776025377527,2,0.3,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.58,0.6958184790038338,0.7052238681877845,0.6890936622554185,0.509742846428708,0.1061091723549765,0.11490242524835663,0.2024616253152966,2,0.3,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.57,0.6862368154004933,0.7032283282163461,0.6749946583259322,0.49412949958972285,0.08059769472120529,0.09697859777934545,0.1664594607741403,2,0.3,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.579,0.695488353307951,0.7002171098175699,0.6951947734339518,0.5029663814965449,0.032575772486270395,0.027887110987292085,0.13140573797341132,2,0.4,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.553,0.660399384200822,0.7008558898836162,0.6305335973830394,0.5012159435680614,0.06328148161385352,0.08707381305079769,0.12906296717617471,2,0.4,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5879999999999999,0.7008536179859554,0.7124207515554798,0.6933014303918269,0.5137534143350406,0.05526591031129979,0.06202693506297692,0.14931284990307128,2,0.4,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.537,0.6560463321261064,0.6830651064628739,0.6326022135308926,0.47022049288569256,0.07525691741432153,0.0771158038241396,0.15553354930070865,2,0.4,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.5599999999999999,0.6784102882744775,0.6942906330021388,0.6670986527213116,0.49156299453749125,0.05280337112165421,0.07032609954836719,0.14943695299358598,2,0.5,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5690000000000001,0.669240378972147,0.7189989049252039,0.6497933388129165,0.5189919863502447,0.062275396572711174,0.06586561255011517,0.12318299184891861,2,0.5,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5860000000000001,0.691361876277722,0.7225596722348948,0.6691006496431834,0.5324201053488476,0.08195593279305279,0.050862171507769935,0.22946630638125462,2,0.5,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5199999999999999,0.610611007380504,0.695370535662083,0.5716837581848974,0.47370648518371805,0.08522257176556965,0.08893492246795595,0.2208174108829521,2,0.5,20.0,0.0,0.0,0.0,1.0,1.0,1.0
