k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
,7.0,13.0,0.2,1.0,0.0,,accuracy,0.8088203059011441,dpr,0.006591489225979334
,7.0,13.0,0.2,1.0,1.0,,accuracy,0.8068856050891979,dpr,0.13727127474730152
,10.0,20.0,0.2,0.0,0.0,,accuracy,0.8492059587119467,dpr,0.15623494696430876
,10.0,20.0,0.2,0.0,1.0,,accuracy,0.7963204473683516,dpr,0.2678809647490249
,10.0,20.0,0.2,1.0,0.0,,accuracy,0.8172045674291184,dpr,0.02618333399433737
,10.0,20.0,0.2,1.0,1.0,,accuracy,0.7932493782044681,dpr,0.15448881611805448
,13.0,27.0,0.2,0.0,0.0,,accuracy,0.8498816438187695,dpr,0.16061218800159455
,13.0,27.0,0.2,0.0,1.0,,accuracy,0.7883355760601269,dpr,0.26511860044490304
,13.0,27.0,0.2,1.0,0.0,,accuracy,0.8224869246575832,dpr,0.0415279236717691
,13.0,27.0,0.2,1.0,1.0,,accuracy,0.7786919828835998,dpr,0.15465529294273658
,16.6,33.4,0.2,0.0,0.0,,accuracy,0.8495745185116442,dpr,0.16214953902371626
,16.6,33.4,0.2,0.0,1.0,,accuracy,0.7798594504432828,dpr,0.26381076583810803
,16.6,33.4,0.2,1.0,0.0,,accuracy,0.8249746773698868,dpr,0.04431161544498942
,16.6,33.4,0.2,1.0,1.0,,accuracy,0.7782006814192444,dpr,0.16377137075386586
,20.0,40.0,0.2,0.0,0.0,,accuracy,0.8506186643911194,dpr,0.16456153094822953
,20.0,40.0,0.2,0.0,1.0,,accuracy,0.7646877384901336,dpr,0.2561511386163328
,20.0,40.0,0.2,1.0,0.0,,accuracy,0.8285371847497596,dpr,0.05952434304404915
,20.0,40.0,0.2,1.0,1.0,,accuracy,0.7694784358706513,dpr,0.15882751336736856
,23.0,47.0,0.2,0.0,0.0,,accuracy,0.8502501187381426,dpr,0.16679950495333967
,23.0,47.0,0.2,0.0,1.0,,accuracy,0.772887842723172,dpr,0.2672724238712657
,23.0,47.0,0.2,1.0,0.0,,accuracy,0.8312705528274391,dpr,0.06748885724200371
,23.0,47.0,0.2,1.0,1.0,,accuracy,0.7667447377028214,dpr,0.16213046897951455
,26.6,53.4,0.2,0.0,0.0,,accuracy,0.8498508369765855,dpr,0.167098767182504
,26.6,53.4,0.2,0.0,1.0,,accuracy,0.7669297249387069,dpr,0.2639262878018239
,26.6,53.4,0.2,1.0,0.0,,accuracy,0.8328059718778281,dpr,0.07187546625270289
,26.6,53.4,0.2,1.0,1.0,,accuracy,0.7722421911044666,dpr,0.18050826913766235
,30.0,60.0,0.2,0.0,0.0,,accuracy,0.8510486728301101,dpr,0.16993066617251845
,30.0,60.0,0.2,0.0,1.0,,accuracy,0.7657627949544118,dpr,0.2582373730823739
,30.0,60.0,0.2,1.0,0.0,,accuracy,0.8351708980451494,dpr,0.07796468677999158
,30.0,60.0,0.2,1.0,1.0,,accuracy,0.7672055576995698,dpr,0.18121672111337145
,33.0,67.0,0.2,0.0,0.0,,accuracy,0.8500351498854493,dpr,0.16967906294534033
,33.0,67.0,0.2,0.0,1.0,,accuracy,0.7647180360503713,dpr,0.2506252791911793
,33.0,67.0,0.2,1.0,0.0,,accuracy,0.8369521022215632,dpr,0.08529687665494991
,33.0,67.0,0.2,1.0,1.0,,accuracy,0.7679126060862589,dpr,0.1697590636624278
10.0,,,0.2,0.0,0.0,,accuracy,0.8484996035145735,dpr,0.15380643717025486
