k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
20.0,,,0.3,1.0,0.0,,accuracy,0.738,dpr,0.10550803784851924
20.0,,,0.3,1.0,1.0,,accuracy,0.623,dpr,0.11213933074474676
30.0,,,0.3,0.0,0.0,,accuracy,0.742,dpr,0.11628858301702195
30.0,,,0.3,0.0,1.0,,accuracy,0.6910000000000001,dpr,0.07716093137126027
30.0,,,0.3,1.0,0.0,,accuracy,0.74,dpr,0.10911601702092656
30.0,,,0.3,1.0,1.0,,accuracy,0.6559999999999999,dpr,0.05883357995567357
40.0,,,0.3,0.0,0.0,,accuracy,0.7509999999999999,dpr,0.11583247141634208
40.0,,,0.3,0.0,1.0,,accuracy,0.6769999999999999,dpr,0.14251225770231085
40.0,,,0.3,1.0,0.0,,accuracy,0.75,dpr,0.1204900644300995
40.0,,,0.3,1.0,1.0,,accuracy,0.6699999999999999,dpr,0.15197056630445507
50.0,,,0.3,0.0,0.0,,accuracy,0.743,dpr,0.12041713382978556
50.0,,,0.3,0.0,1.0,,accuracy,0.6859999999999999,dpr,0.15711137146028342
50.0,,,0.3,1.0,0.0,,accuracy,0.743,dpr,0.12041713382978556
50.0,,,0.3,1.0,1.0,,accuracy,0.6859999999999999,dpr,0.15711137146028342
60.0,,,0.3,0.0,0.0,,accuracy,0.75,dpr,0.13736714854284915
60.0,,,0.3,0.0,1.0,,accuracy,0.701,dpr,0.0835459942353862
60.0,,,0.3,1.0,0.0,,accuracy,0.75,dpr,0.13736714854284915
60.0,,,0.3,1.0,1.0,,accuracy,0.701,dpr,0.0835459942353862
70.0,,,0.3,0.0,0.0,,accuracy,0.74,dpr,0.11382890361322348
