tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.6701909625253204,0.7299299813221405,0.6516740605201169,0.8297021508978265,0.6574088529901168,0.21857907437609567,0.1386651681728617,0.39850312684682043,2,90.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6774296819247362,0.7187330314469145,0.6761589581357661,0.7675627766509461,0.6703096166255439,0.17936046313955445,0.11245793185872817,0.31009357304263435,2,90.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6701909625253204,0.7299299813221405,0.6516740605201169,0.8297021508978265,0.6574088529901168,0.21857907437609567,0.1386651681728617,0.39850312684682043,2,90.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6785879482872266,0.7190024423807048,0.6779421685295739,0.7659323766441901,0.6716743625300373,0.17679477994099188,0.1083962505294049,0.3049133541164729,2,100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6685978092177169,0.7275354798622955,0.6515233677996932,0.8237135185520321,0.6560912891023033,0.22347674060229727,0.14841497678752985,0.40717336738342863,2,100.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6785879482872266,0.7190024423807048,0.6779421685295739,0.7659323766441901,0.6716743625300373,0.17679477994099188,0.1083962505294049,0.3049133541164729,2,100.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6685978092177169,0.7275354798622955,0.6515233677996932,0.8237135185520321,0.6560912891023033,0.22347674060229727,0.14841497678752985,0.40717336738342863,2,100.0,0.0,0.0,0.0,1.0,1.0
0.1,0.6751130444077207,0.7140772442606502,0.6773507093454382,0.7557046265174833,0.6687563668159987,0.1277173299007645,0.07501848200094827,0.21665958334378327,2,0.0,7.0,3.0,0.0,0.0,0.0
0.1,0.6745343827906327,0.7162831386726121,0.6737482729542088,0.7648320922235902,0.6673863623609456,0.3832338469682767,0.28822848073741625,0.7304942835035316,2,0.0,7.0,3.0,0.0,0.0,1.0
0.1,0.6733761164281424,0.7041530452927592,0.6859223140650086,0.7242049749815342,0.6694558898213862,0.09017447311388346,0.056768566111728536,0.15739882257477417,2,0.0,7.0,3.0,0.0,1.0,0.0
0.1,0.6741005437658695,0.7104369308226596,0.6799431753178773,0.7444689674648499,0.6686652934069353,0.36114842771279776,0.2740920935042883,0.6833718307439038,2,0.0,7.0,3.0,0.0,1.0,1.0
0.1,0.6761265929699215,0.720056829166027,0.6722047712101968,0.7759431483204238,0.6682866754551156,0.16931648482966224,0.10317611067542658,0.2905395777061049,2,0.0,13.0,7.0,0.0,0.0,0.0
0.1,0.6685985427619616,0.7145934690459654,0.6650934574554608,0.7723442378859241,0.6603551300115826,0.37015024037643085,0.2771351163146075,0.7063568813115705,2,0.0,13.0,7.0,0.0,0.0,1.0
0.1,0.6764158189864304,0.7193621093204732,0.6735174344917532,0.7726991358379555,0.6688527253440387,0.16038593985957955,0.09606764266749397,0.2718424312674628,2,0.0,13.0,7.0,0.0,1.0,0.0
0.1,0.6700462447250309,0.7149728024080214,0.6671975367839071,0.7704383650105646,0.6620726728812485,0.3672129987929514,0.2758944235047417,0.6993388137231683,2,0.0,13.0,7.0,0.0,1.0,1.0
0.1,0.6784426017347274,0.718278956473505,0.6786415414550533,0.763530897737248,0.6717779436038265,0.17008437054232212,0.10289349744001579,0.29113123651094125,2,0.0,20.0,10.0,0.0,0.0,0.0
0.1,0.666136453900412,0.7149319868721051,0.6607740026509179,0.7794166588180494,0.6572541820003325,0.3581521129148498,0.2680185089548668,0.6827488619388771,2,0.0,20.0,10.0,0.0,0.0,1.0
0.1,0.6787322469193763,0.7184587947059449,0.6789873751641492,0.7635294168618285,0.6720851273693899,0.16997363665351797,0.10300727893310761,0.29063069323205465,2,0.0,20.0,10.0,0.0,1.0,0.0
0.1,0.6665707120933153,0.7153400117949567,0.6610772912426326,0.7799608805347173,0.6576813316183563,0.35602934251479884,0.26482809434234733,0.6785161680221277,2,0.0,20.0,10.0,0.0,1.0,1.0
0.1,0.6774291579645614,0.7203511110284067,0.674319149983279,0.7740765567293035,0.6699067927432311,0.17103043361333015,0.10144908679973966,0.29470564544590805,2,0.0,26.0,14.0,0.0,0.0,0.0
0.1,0.6683091071613829,0.7172735749581503,0.6613260974829265,0.7838281118040621,0.6589476602615403,0.35725345831603217,0.26104195324693746,0.681844597640008,2,0.0,26.0,14.0,0.0,0.0,1.0
0.1,0.6774291579645614,0.7203511110284067,0.674319149983279,0.7740765567293035,0.6699067927432311,0.17103043361333015,0.10144908679973966,0.29470564544590805,2,0.0,26.0,14.0,0.0,1.0,0.0
0.1,0.6683091071613829,0.7172735749581503,0.6613260974829265,0.7838281118040621,0.6589476602615403,0.35725345831603217,0.26104195324693746,0.681844597640008,2,0.0,26.0,14.0,0.0,1.0,1.0
